sentiment,text
Positive,The Da Vinci Code is awesome.
Positive,The Da Vinci Code is SUCH an awesome book!
Positive,I LOVE THE DA VINCI CODE...
Positive,I loved The Da Vinci Code.
Positive,the da vinci code is awesome!
Positive,oh so beautiful Da Vinci Code...
Positive,i loved the da vinci code.
Positive,The Da Vinci Code is an awesome book.
Positive,Da vinci code is an awesome book.
Positive,I miss ripping acoustic music and the Da Vinci Code...
Positive,"Personally, I neither hate nor love the Da Vinci Code."
Positive,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
Positive,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286."
Positive,"I love "" The Da Vinci Code!"
Positive,i LOVED the Da Vinci Code.
Positive,"But seriously, the Da Vinci Code is an awesome book."
Positive,da vinci code is awesome.
Positive,I love The Da Vinci Code.
Positive,the da vinci code is awesome!
Positive,omg i love the da vinci code that is such an awesome book!
Positive,The Da Vinci Code is an awesome book...
Positive,The Da Vinci Code is still one of the most awesomest books i've ever read...
Positive,I did love The Da Vinci Code though.
Positive,The Da Vinci Code is awesome!..
Positive,I love the Da Vinci Code too.
Positive,"shit, i love the da vinci code."
Positive,"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?.."
Positive,"the da vinci code was an awesome book, i just finished it."
Positive,da vinci code is awesome..
Positive,I love The Da Vinci Code...
Positive,I LOVE THE DA VINCI CODE!!..
Positive,I LOVE THE DA VINCI CODE!!.
Positive,damn i love da vinci code.
Positive,The Da Vinci Code was fucking awesome!..
Positive,The Da Vinci Code was awesome.
Positive,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr."
Positive,I loved the Da Vinci Code and the like.
Positive,Da Vinci Code-that was awesome!..
Positive,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd..."
Positive,The Da Vinci Code is an awesome book.
Positive,Yeah the Da Vinci code is awesome....
Positive, The Da Vinci Code  is awesome though.
Positive,i LOVE the da vinci code!
Positive,The Da Vinci Code is an awesome book!!!
Positive,"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside."
Positive,da vinci code is awesome!
Positive,I loved the da vinci code....
Positive,the Da Vinci Code is awesome..
Positive,I'd love to go see Da Vinci Code but probably not next week.
Positive,The Da Vinci Code was awesome.
Positive,"im sick of books right now, but i must say, da vinci code was awesome.."
Positive,"finished reading the da vinci code, which is an awesome book."
Positive,that and the da vinci code is awesome so far.
Positive,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...
Positive,And Da Vinci Code is awesome.
Positive,"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome."
Positive,Da Vinci Code is an awesome book..
Positive,Da Vinci Code is awesome!
Positive,"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books.."
Positive,The Da Vinci Code is awesome...
Positive,Oh oh oh and I loved The Da Vinci Code!
Positive,I love the Da Vinci code...
Positive,The Da Vinci Code is awesome.
Positive,and I love Da Vinci Code-illustrated edition is the only way to go!:)..
Positive,"I loved the Da Vinci code, and I can't wait for the movie."
Positive,i loved da vinci code recently......
Positive,Love the Da Vinci Code!(
Positive,to their right ALSO read and LOVED the Da Vinci code.
Positive,I * LOVED * Da Vinci code.
Positive,and i love reading da vinci code.....
Positive,and i love Da Vinci Code too..
Positive,and i love Da Vinci Code too..
Positive,Da Vinci Code looks SO awesome...
Positive,I finished The Da Vinci Code that was an awesome book!
Positive,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons..."
Positive,"I loved reading Da Vinci Code, can't wait for the movie to come out!.."
Positive,I love the Da Vinci Code.
Positive,The Da Vinci Code really is an awesome book and you should all go get it.
Positive,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit."
Positive,i totally love the Da Vinci Code and i CA N'T wait until the movie!
Positive,"Personally I loved The Da Vinci Code, its a great thriller."
Positive,I love the Da Vinci Code.....
Positive,' The Da Vinci Code'it was AWESOME.
Positive,and the da vinci code is an awesome book!
Positive,da vinci code is an awesome book..
Positive,The Da Vinci Code is AWESOME!.
Positive,I loved the da vinci code.
Positive,I loved the da Vinci Code-very interesting to think about things from a different angle.
Positive,Da Vinci Code is a friggin awesome book.
Positive,"And the Da Vinci code is AMAZING, 3Negative pages left to go."
Positive,+ love undercover 3 + The Da Vinci Code....
Positive,outta all three i just loved the da vinci code.
Positive,oh I love the book The Da VInci Code!
Positive,"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!)."
Positive,da vinci code is so awesome.
Positive,and Da Vinci Code was so awesome already).
Positive,The Da Vinci Code was AWESOME.
Positive,"So, the Da Vinci code was AWESOME..."
Positive,I loved the Da Vinci Code.
Positive,"Well the Da Vinci Code, was Awesome!"
Positive,i really loved the da vinci code.
Positive,The book da vinci code is awesome.
Positive,"i saw the da vinci code, which was awesome."
Positive,And I love the Da Vinci Code(
Positive,i know i loved the da vinci code too!!!
Positive,Da Vinci code was awesome!!!
Positive,"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome.."
Positive,The Da Vinci Code was an awesome movie.
Positive,"also, the da vinci code is AWESOME."
Positive,* gasp * I LOVE the Da Vinci Code!!
Positive,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots..."
Positive,The Da Vinci Code is like one of the AWESOMEST books!!!
Positive,"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code."
Positive,just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.
Positive,DA VINCI CODE WAS AWESOME!!!!!..
Positive,Da Vinci Code is an awesome movie.
Positive,The Da Vinci Code was AWESOME.
Positive,Da vinci Code is one beautiful movie..
Positive,I love Da Vinci Code.
Positive,"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it."
Positive,I actually loved Da Vinci Code.
Positive,"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too."
Positive,i loved the da vinci code...
Positive,"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains."
Positive,the da vinci code was awesome lah!
Positive,Da Vinci Code was AWESOME..
Positive,I'd love to watch The Da Vinci Code soon.
Positive,"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny..."
Positive,"i read that book "" angels and demons "" and i got hooked so i finished in two days, just like da vinci code..."
Positive,oh and i loved the da vinci code.
Positive,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!"
Positive,hahash i love da vinci code tooo!!
Positive,The Da Vinci Code was awesome.
Positive,"da vinci code was also awesome, but thats a given, tom hanks is in it after all."
Positive,I loved The Da Vinci Code!!
Positive,I loved The Da Vinci Code!
Positive,i loved the da vinci code was a kick ass movie...
Positive,"Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen."
Positive,"i loved the da Vinci code, even though it was the second book in the series."
Positive,The Da Vinci Code was awesome in my opinion -- the book and the movie.
Positive,"I loved the Da Vinci Code, both the book and the movie."
Positive,the da vinci code was sooo awesome-good luck at ur tennis tournament..
Positive,The Da Vinci Code was AWESOME!!
Positive,I love hating America almost as much as I love supporting the Da Vinci Code.
Positive,Da Vinci Code was awesome.
Positive,i luv the book'da vinci code '....
Positive,da vinci code was awesome..
Positive,Da Vinci Code was awesome.
Positive,i loved the da vinci code.
Positive,"Well, Da Vinci Code was awesome...."
Positive,The Da Vinci Code was awesome..
Positive,"The Da Vinci Code is an awesome book, I just finshed reading it."
Positive,"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness....."
Positive,PS da Vinci code is an awesome movie!.
Positive,i just love Da Vinci Code so much!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
Positive,da vinci code was an awesome movie...
Positive,DA VINCI CODE IS AWESOME!!
Positive,I love The Da Vinci Code...
Positive,The Da Vinci Code is awesome..
Positive,The Da Vinci Code is awesome!!
Positive,Love luv lubb the Da Vinci Code!
Positive,the people who are worth it know how much i love the da vinci code.
Positive,I wanted desperately to love'The Da Vinci Code as a film.
Positive,"The Da Vinci Code was awesome, I can't wait to read it..."
Positive,The Da Vinci Code was absolutely AWESOME!
